X,Y,Z
0.0,0.0,0
-3.321878579610541,-2.1764032073310418,0
-4.696449026345931,0.3436426116838476,0
-8.591065292096232,0.11454753722794919,0
-10.882016036655216,-4.238258877434134,0
-17.0675830469645,-4.581901489117982,0
-18.09851088201603,-9.049255441008018,0
-19.93127147766323,-6.987399770904926,0
-19.93127147766323,-11.798396334478806,0
-21.878579610538367,-8.36197021764032,0
-23.48224513172967,-12.600229095074457,0
-24.284077892325314,-7.674684994272624,0
-26.68957617411226,-11.569301260022907,0
-26.345933562428414,-5.612829324169532,0
-28.751431844215347,-7.7892325315005735,0
-28.980526918671245,-5.269186712485681,0
-25.200458190148908,-1.489117983963343,0
-30.927835051546396,0.9163802978235971,0
-29.782359679266904,1.8327605956471942,-1.6
-32.64604810996563,3.5509736540664427,-1.6
-31.271477663230243,4.238258877434138,-3.2
-34.13516609392899,9.392898052691866,-3.2
-32.64604810996563,9.507445589919815,-4.800000000000001
-33.79152348224514,12.714776632302407,-4.800000000000001
-32.416953035509735,12.25658648339061,-6.4
-31.61512027491409,18.213058419243982,-6.4
-30.2405498281787,17.411225658648338,-8.0
-30.011454753722802,20.50400916380298,-8.0
-28.52233676975945,19.931271477663227,-9.6
-28.4077892325315,22.79495990836197,-9.6
-27.147766323024058,21.87857961053837,-11.2
-25.658648339060704,26.804123711340207,-11.2
-24.054982817869416,26.57502863688431,-12.799999999999999
-25.08591065292096,31.38602520045819,-12.799999999999999
-27.605956471935855,31.615120274914087,-12.799999999999999
-26.91867124856816,33.10423825887743,-14.399999999999999
-29.209621993127143,32.07331042382589,-14.399999999999999
-29.209621993127143,33.676975945017176,-15.999999999999998
-30.35509736540665,31.38602520045819,-15.999999999999998
-31.72966781214204,32.302405498281786,-17.599999999999998
-31.50057273768614,29.553264604810995,-17.599999999999998
-33.10423825887743,30.35509736540664,-19.2
-31.386025200458192,27.033218785796105,-19.2
-34.13516609392899,27.60595647193585,-19.2
-33.676975945017176,21.99312714776632,-19.2
-35.39518900343643,22.565864833906073,-20.8
-34.364261168384886,19.35853379152348,-20.8
-36.08247422680412,19.70217640320733,-22.400000000000002
-35.16609392898053,16.609392898052693,-22.400000000000002
-36.88430698739977,17.06758304696449,-24.000000000000004
-37.68613974799542,11.340206185567009,-24.000000000000004
-38.94616265750287,12.485681557846508,-25.600000000000005
-39.63344788087056,9.049255441008018,-25.600000000000005
-40.778923253150055,10.30927835051546,-27.200000000000006
-45.131729667812145,6.185567010309274,-27.200000000000006
-45.58991981672394,7.78923253150057,-28.800000000000008
-47.99541809851088,5.841924398625427,-28.800000000000008
-48.22451317296678,7.445589919816722,-30.40000000000001
-54.18098510882016,6.41466208476518,-30.40000000000001
-53.72279495990836,7.903780068728526,-32.00000000000001
-57.0446735395189,7.445589919816722,-32.00000000000001
-56.47193585337915,8.934707903780069,-33.60000000000001
-61.855670103092784,10.996563573883162,-33.60000000000001
-60.710194730813285,12.027491408934711,-35.20000000000001
-63.80297823596793,13.402061855670102,-35.20000000000001
-62.42840778923253,14.203894616265746,-36.80000000000001
-67.12485681557847,21.076746849942726,-36.80000000000001
-65.75028636884306,21.76403207331042,-38.40000000000001
-67.81214203894616,23.825887743413514,-38.40000000000001
-66.43757159221076,24.16953035509737,-40.000000000000014
-68.27033218785796,26.46048109965636,-40.000000000000014
