X,Y,Z
0.0,0.0,0
-3.0848329048843155,-0.12853470437017478,0
-4.498714652956302,2.827763496143959,0
-11.053984575835479,-0.12853470437017478,0
-14.910025706940871,-0.5141388174807204,0
-16.709511568123396,0.5141388174807204,0
-17.480719794344473,2.570694087403602,0
-16.32390745501285,10.411311053984576,0
-12.853470437017997,18.894601542416453,0
-9.125964010282779,24.164524421593832,0
-2.9562982005141407,29.691516709511568,0
-4.884318766066841,34.06169665809769,0
-5.012853470437015,39.588688946015424,0
-5.7840616966580995,40.231362467866326,-1.6
-18.894601542416453,39.84575835475578,-1.6
-29.177377892030847,41.77377892030848,-1.6
-38.4318766066838,46.01542416452442,-1.6
-45.75835475578406,52.44215938303342,-1.6
-50.51413881748072,60.282776349614394,-1.6
-52.82776349614396,67.48071979434448,-1.6
-53.85604113110539,74.93573264781492,-1.6
-53.598971722365036,86.50385604113109,-1.6
-58.354755784061695,86.24678663239075,-1.6
-60.282776349614394,88.94601542416453,-1.6
-58.74035989717223,94.98714652956298,-1.6
-55.398457583547554,98.58611825192801,-1.6
-53.084832904884315,99.48586118251927,-1.6
-2.4421593830334203,99.48586118251927,-1.6
-1.0282776349614409,98.45758354755785,-1.6
-1.9280205655526998,95.11568123393315,-1.6
-10.15424164524422,90.35989717223649,-1.6
-10.925449871465297,89.0745501285347,-3.2
-1.799485861182518,84.83290488431876,-3.2
-0.899742930591259,85.60411311053983,-4.800000000000001
0.899742930591259,94.60154241645245,-4.800000000000001
3.598971722365043,98.84318766066838,-4.800000000000001
14.910025706940878,99.10025706940874,-4.800000000000001
14.138817480719787,96.1439588688946,-4.800000000000001
8.997429305912597,91.6452442159383,-4.800000000000001
8.997429305912597,86.63239074550128,-4.800000000000001
10.796915167095115,79.17737789203085,-4.800000000000001
17.737789203084823,71.85089974293058,-4.800000000000001
21.07969151670951,66.45244215938303,-4.800000000000001
23.00771208226221,59.383033419023135,-4.800000000000001
23.13624678663239,52.44215938303342,-4.800000000000001
29.562982005141386,49.22879177377892,-4.800000000000001
33.80462724935732,43.18766066838046,-4.800000000000001
34.83290488431877,38.688946015424165,-4.800000000000001
33.54755784061697,36.375321336760926,-4.800000000000001
22.750642673521845,25.83547557840617,-4.800000000000001
9.383033419023128,20.95115681233933,-4.800000000000001
9.125964010282779,15.809768637532137,-4.800000000000001
6.812339331619533,8.097686375321338,-4.800000000000001
3.9845758354755745,3.470437017994861,-4.800000000000001
0.0,0.0,-4.800000000000001
