X,Y,Z
0.0,0.0,0
-0.9643201542912223,8.968177434908387,0
0.5785920925747376,17.74349083895853,0
9.83606557377049,49.56605593056894,0
12.92189006750241,52.073288331726125,0
16.200578592092576,52.266152362584386,0
19.09353905496625,50.14464802314368,0
25.843780135004824,39.15139826422372,0
34.908389585342334,27.193828351012534,0
45.22661523625844,16.104146576663453,0
53.134040501446485,9.546769527483125,0
62.00578592092575,34.04050144648023,0
83.22082931533271,45.90163934426229,0
81.58148505303762,48.11957569913211,0
64.03085824493732,56.123432979749275,0
60.65573770491803,58.72709739633559,0
57.85920925747349,65.6702025072324,0
56.02700096432016,75.12054001928641,0
67.02025072324011,75.21697203471552,0
77.72420443587271,71.93828351012536,0
90.74252651880425,64.12729026036644,0
97.01060752169721,56.50916104146577,0
99.03567984570878,49.27675988428158,0
98.36065573770492,41.369334619093536,0
92.38187078109934,26.711668273866927,0
84.86017357762779,16.00771456123433,0
78.49566055930569,9.06460945033751,0
64.70588235294119,-0.8678881388621065,0
53.90549662487946,-5.014464802314372,0
42.52651880424301,-5.978784956605594,0
36.54773384763742,-5.496624879459979,0
30.665380906460946,-3.3751205400192887,0
5.2073288331726175,-2.700096432015428,-1.6
0.0,0.0,-1.6
