X,Y,Z
0.0,0.0,0
-2.7108433734939794,1.2801204819277103,0
-4.743975903614462,3.313253012048193,0
-7.2289156626506035,9.713855421686752,0
-7.2289156626506035,11.671686746987959,0
-2.1837349397590415,28.463855421686752,0
-2.2590361445783174,31.024096385542173,0
-9.036144578313255,37.72590361445784,0
-17.620481927710845,42.7710843373494,0
-20.33132530120482,47.28915662650603,0
-21.91265060240964,67.99698795180723,0
-20.93373493975904,78.16265060240966,0
-19.20180722891567,81.62650602409639,0
-16.039156626506028,85.39156626506025,0
3.0873493975903585,95.63253012048193,0
10.542168674698793,98.4186746987952,0
16.792168674698793,99.77409638554218,0
22.364457831325304,100.0,0
28.765060240963855,99.09638554216869,0
32.75602409638554,97.74096385542168,0
37.49999999999999,94.80421686746988,0
43.0722891566265,88.93072289156626,0
46.6867469879518,81.09939759036146,0
47.81626506024096,74.32228915662651,0
46.837349397590366,58.43373493975904,0
43.97590361445784,44.4277108433735,0
39.75903614457831,29.216867469879524,0
36.897590361445786,9.864457831325304,0
35.54216867469879,6.777108433734945,0
32.75602409638554,3.915662650602414,0
28.614457831325304,1.957831325301207,0
15.888554216867469,0.22590361445783458,-1.6
0.0,0.0,-1.6
